id_usuario,id_ubicacion,fecha,tipo,verificado
1,165,2020-04-01,Temporal,False
2,18,2021-10-22,Residencia,False
3,71,2020-03-11,Residencia,False
4,4,2023-02-02,Temporal,True
5,33,2022-12-27,Residencia,True
6,132,2021-01-12,Residencia,True
7,78,2020-01-29,Trabajo,True
8,183,2021-02-08,Residencia,True
9,160,2018-04-11,Temporal,True
10,26,2023-02-26,Residencia,True
11,87,2022-03-21,Residencia,True
12,96,2019-07-02,Trabajo,True
13,191,2018-01-16,Temporal,False
14,91,2019-12-01,Trabajo,False
15,55,2023-05-21,Temporal,True
16,196,2018-04-27,Trabajo,True
17,180,2019-07-09,Residencia,True
18,18,2022-02-07,Trabajo,False
19,88,2018-11-16,Residencia,True
20,194,2021-05-27,Residencia,True
21,156,2023-04-13,Residencia,False
22,73,2021-04-06,Temporal,False
23,2,2019-12-24,Residencia,False
24,2,2022-04-22,Temporal,True
25,144,2021-12-27,Residencia,True
26,20,2018-12-16,Residencia,False
27,6,2023-07-13,Temporal,False
28,63,2019-03-14,Trabajo,False
29,86,2022-01-07,Residencia,True
30,199,2023-12-31,Residencia,True
31,45,2022-03-06,Trabajo,False
32,175,2018-03-27,Residencia,False
33,162,2022-11-28,Trabajo,True
34,119,2019-04-25,Temporal,True
35,99,2020-06-29,Residencia,False
36,39,2019-07-18,Trabajo,False
37,64,2022-02-15,Residencia,True
38,100,2018-05-18,Residencia,True
39,143,2022-04-30,Trabajo,False
40,90,2023-04-16,Trabajo,True
41,33,2023-04-29,Temporal,True
42,47,2021-01-11,Trabajo,True
43,76,2021-01-08,Trabajo,True
44,153,2022-05-10,Residencia,True
45,94,2019-12-24,Residencia,True
46,80,2018-11-15,Temporal,True
47,129,2020-02-26,Trabajo,True
48,96,2023-04-28,Residencia,False
49,116,2019-04-09,Residencia,True
50,107,2023-11-06,Residencia,True
51,58,2018-12-21,Residencia,True
52,121,2022-04-09,Residencia,True
53,56,2022-12-10,Residencia,False
54,62,2018-06-01,Trabajo,False
55,162,2021-04-22,Temporal,True
56,62,2021-12-06,Residencia,True
57,130,2019-10-17,Trabajo,False
58,65,2022-05-31,Trabajo,False
59,35,2023-07-18,Trabajo,True
60,35,2018-11-11,Trabajo,True
61,81,2021-05-01,Trabajo,False
62,92,2018-08-08,Residencia,False
63,191,2021-10-17,Residencia,False
64,69,2021-03-01,Residencia,True
65,83,2022-12-12,Residencia,False
66,43,2022-11-25,Trabajo,False
67,71,2022-04-22,Temporal,True
68,37,2019-11-17,Trabajo,False
69,99,2022-05-16,Residencia,False
70,196,2021-05-30,Temporal,False
71,30,2018-02-18,Trabajo,False
72,199,2021-10-05,Residencia,True
73,19,2021-04-20,Temporal,True
74,141,2018-06-27,Trabajo,False
75,32,2020-12-03,Residencia,False
76,120,2021-03-29,Temporal,False
77,135,2023-12-21,Residencia,False
78,120,2021-01-18,Residencia,False
