id_usuario,id_cuenta,fecha_asociacion,tipo_relacion,activo
722,1,2021-08-12,Autorizado,True
975,2,2021-03-10,Titular,True
82,3,2024-05-12,Titular,False
726,4,2020-07-06,Beneficiario,True
607,5,2020-01-28,Beneficiario,True
203,6,2019-05-30,Autorizado,False
78,7,2023-04-07,Titular,True
857,8,2020-02-11,Autorizado,True
845,9,2020-10-08,Titular,True
166,10,2021-10-09,Titular,True
838,11,2022-03-04,Titular,False
691,12,2022-02-18,Autorizado,True
68,13,2021-07-09,Autorizado,False
831,14,2024-01-28,Titular,False
763,15,2022-06-10,Titular,False
902,16,2020-02-01,Autorizado,False
476,17,2019-05-07,Autorizado,True
895,18,2018-01-01,Autorizado,True
445,19,2024-04-13,Beneficiario,False
484,20,2021-08-25,Autorizado,True
311,21,2023-08-28,Autorizado,False
444,22,2019-08-23,Autorizado,True
109,23,2020-02-19,Beneficiario,True
241,24,2020-10-10,Titular,False
980,25,2023-04-05,Beneficiario,True
125,26,2024-07-07,Autorizado,False
885,27,2020-10-09,Beneficiario,True
428,28,2022-08-15,Titular,False
924,29,2023-08-09,Autorizado,False
716,30,2023-08-05,Autorizado,True
833,31,2021-10-04,Titular,True
98,32,2021-04-12,Beneficiario,True
474,33,2018-07-09,Beneficiario,False
797,34,2019-07-30,Autorizado,True
61,35,2019-10-06,Autorizado,False
636,36,2018-04-22,Autorizado,True
322,37,2018-03-12,Beneficiario,False
303,38,2020-08-05,Autorizado,True
434,39,2019-08-28,Beneficiario,True
668,40,2019-08-29,Beneficiario,False
569,41,2019-10-11,Beneficiario,True
467,42,2022-04-30,Titular,True
132,43,2021-09-24,Autorizado,True
378,44,2018-11-18,Autorizado,True
445,45,2022-10-09,Beneficiario,True
775,46,2018-10-05,Beneficiario,True
950,47,2021-08-01,Titular,False
369,48,2024-03-07,Autorizado,True
559,49,2019-11-06,Beneficiario,False
92,50,2021-07-17,Autorizado,True
661,51,2024-08-14,Autorizado,True
225,52,2018-05-21,Autorizado,False
397,53,2023-08-14,Beneficiario,True
732,54,2023-07-20,Beneficiario,False
236,55,2021-07-15,Titular,False
522,56,2024-03-05,Titular,True
570,57,2020-03-12,Autorizado,True
201,58,2021-10-19,Autorizado,False
457,59,2023-05-09,Titular,True
43,60,2023-11-07,Titular,False
754,61,2022-02-28,Titular,True
370,62,2018-04-09,Beneficiario,True
864,63,2020-02-17,Titular,True
186,64,2024-10-18,Beneficiario,True
401,65,2020-01-15,Titular,True
815,66,2023-12-31,Titular,True
878,67,2022-05-09,Autorizado,True
582,68,2024-03-14,Beneficiario,True
760,69,2020-01-21,Beneficiario,False
921,70,2021-09-28,Titular,True
652,71,2024-05-20,Autorizado,True
743,72,2019-04-03,Beneficiario,False
577,73,2024-06-07,Titular,True
695,74,2018-12-12,Titular,True
997,75,2019-02-28,Beneficiario,True
737,76,2018-01-11,Beneficiario,False
193,77,2020-02-27,Autorizado,True
856,78,2023-12-08,Beneficiario,False
761,79,2020-06-02,Titular,True
558,80,2024-04-09,Beneficiario,False
356,81,2023-08-18,Titular,True
786,82,2023-10-15,Titular,True
985,83,2022-12-20,Titular,True
661,84,2024-01-04,Beneficiario,True
941,85,2021-10-08,Autorizado,True
836,86,2018-07-08,Beneficiario,True
514,87,2023-05-24,Beneficiario,True
681,88,2024-04-29,Beneficiario,True
750,89,2020-09-24,Autorizado,True
768,90,2021-04-05,Titular,True
711,91,2021-07-28,Autorizado,False
74,92,2022-12-16,Beneficiario,False
99,93,2019-06-20,Beneficiario,True
848,94,2021-04-17,Titular,True
678,95,2021-09-06,Autorizado,False
214,96,2023-12-24,Autorizado,False
696,97,2023-08-19,Autorizado,True
718,98,2018-04-16,Autorizado,False
636,99,2021-08-04,Beneficiario,False
986,100,2023-01-08,Titular,True
85,101,2021-11-04,Beneficiario,False
346,102,2021-04-10,Beneficiario,True
796,103,2019-09-03,Titular,False
608,104,2018-03-29,Titular,True
282,105,2019-04-13,Titular,True
715,106,2018-12-17,Beneficiario,True
616,107,2023-03-28,Autorizado,True
498,108,2024-07-03,Titular,True
188,109,2022-07-22,Beneficiario,True
828,110,2023-11-13,Autorizado,True
449,111,2022-10-20,Autorizado,True
920,112,2018-12-19,Beneficiario,False
447,113,2022-02-11,Autorizado,True
972,114,2022-11-24,Titular,True
166,115,2021-03-11,Titular,False
560,116,2021-02-02,Beneficiario,False
119,117,2021-12-30,Titular,True
719,118,2018-06-19,Beneficiario,True
273,119,2024-03-10,Beneficiario,True
882,120,2024-03-18,Autorizado,True
102,121,2019-06-17,Autorizado,True
879,122,2018-04-05,Beneficiario,False
75,123,2024-12-26,Autorizado,True
848,124,2022-04-24,Beneficiario,False
800,125,2021-06-14,Autorizado,True
857,126,2021-09-22,Beneficiario,False
522,127,2021-11-27,Autorizado,False
295,128,2023-09-05,Titular,False
87,129,2020-07-11,Autorizado,True
476,130,2020-05-14,Autorizado,True
482,131,2022-07-11,Beneficiario,True
709,132,2019-07-28,Titular,True
957,133,2022-01-26,Beneficiario,False
332,134,2019-02-03,Beneficiario,True
531,135,2023-11-17,Autorizado,True
912,136,2020-08-23,Beneficiario,True
371,137,2021-04-30,Autorizado,False
121,138,2020-01-24,Beneficiario,True
830,139,2024-11-14,Autorizado,False
471,140,2022-07-25,Beneficiario,False
386,141,2020-10-11,Autorizado,False
261,142,2018-05-25,Titular,False
204,143,2018-05-23,Beneficiario,True
448,144,2020-05-17,Autorizado,False
821,145,2024-02-26,Titular,True
275,146,2024-03-03,Autorizado,False
677,147,2022-09-05,Beneficiario,False
292,148,2019-11-10,Beneficiario,True
243,149,2021-05-20,Titular,False
990,150,2024-06-14,Beneficiario,True
759,151,2022-11-28,Titular,False
866,152,2024-07-01,Autorizado,True
287,153,2020-05-13,Titular,True
615,154,2018-02-26,Autorizado,False
455,155,2019-04-19,Beneficiario,True
24,156,2023-12-25,Autorizado,True
537,157,2020-07-01,Titular,True
382,158,2024-02-13,Beneficiario,True
213,159,2024-10-04,Titular,False
921,160,2020-01-10,Autorizado,True
577,161,2022-02-03,Titular,True
354,162,2022-04-10,Beneficiario,True
92,163,2020-12-05,Beneficiario,True
267,164,2019-09-21,Beneficiario,True
374,165,2020-08-06,Titular,True
567,166,2021-12-01,Titular,True
146,167,2019-03-19,Titular,True
534,168,2022-07-07,Autorizado,False
804,169,2023-01-28,Beneficiario,True
828,170,2019-10-25,Autorizado,True
802,171,2023-08-03,Autorizado,False
741,172,2024-07-21,Beneficiario,True
176,173,2021-02-21,Beneficiario,True
50,174,2024-03-24,Titular,False
588,175,2024-04-29,Autorizado,False
166,176,2024-12-01,Beneficiario,True
472,177,2023-03-25,Titular,False
414,178,2020-06-22,Titular,True
858,179,2023-07-25,Titular,True
512,180,2018-05-31,Beneficiario,True
863,181,2022-04-17,Titular,True
25,182,2020-10-31,Beneficiario,True
654,183,2022-09-06,Beneficiario,True
146,184,2020-12-21,Beneficiario,True
730,185,2022-02-24,Titular,True
53,186,2020-12-06,Beneficiario,True
359,187,2023-08-11,Autorizado,False
364,188,2019-08-11,Autorizado,True
199,189,2024-09-07,Beneficiario,False
729,190,2022-02-20,Beneficiario,True
