id_usuario,id_transaccion,autorizacion,metodo_autorizacion,timestamp
381,1,True,Biometrico,2023-04-18
366,2,True,OTP,2022-03-04
378,3,True,Contraseña,2025-02-26
677,4,False,OTP,2024-10-17
737,5,False,Biometrico,2022-07-09
297,6,True,OTP,2023-02-16
287,7,True,Contraseña,2025-12-07
158,8,False,OTP,2024-10-09
553,9,False,Contraseña,2025-12-21
350,10,False,PIN,2025-05-07
246,11,True,Biometrico,2023-01-02
182,12,False,OTP,2025-04-22
635,13,False,OTP,2025-06-21
339,14,True,Biometrico,2022-05-20
288,15,True,OTP,2024-06-28
643,16,True,PIN,2023-10-20
957,17,True,PIN,2022-01-15
561,18,False,PIN,2022-04-12
329,19,False,Contraseña,2025-12-16
522,20,True,Biometrico,2022-06-15
583,21,True,OTP,2025-01-07
269,22,True,OTP,2024-04-22
879,23,False,Contraseña,2023-10-02
833,24,False,OTP,2025-01-23
954,25,True,Contraseña,2025-02-22
933,26,True,Biometrico,2023-05-04
145,27,False,Biometrico,2025-11-09
323,28,True,OTP,2023-05-27
567,29,False,OTP,2023-04-27
465,30,True,Contraseña,2023-02-11
92,31,False,Contraseña,2022-05-24
892,32,True,Biometrico,2023-08-05
619,33,True,Contraseña,2022-06-06
848,34,False,PIN,2024-01-18
158,35,True,Biometrico,2025-10-03
794,36,False,PIN,2025-01-02
608,37,True,Biometrico,2025-08-14
503,38,True,Biometrico,2024-03-26
662,39,False,PIN,2025-09-16
933,40,True,OTP,2022-12-03
713,41,True,Biometrico,2025-06-24
953,42,True,PIN,2025-10-17
424,43,False,OTP,2025-08-12
571,44,False,OTP,2022-03-27
836,45,True,Biometrico,2025-10-24
48,46,False,Biometrico,2022-01-15
907,47,True,OTP,2023-04-16
127,48,True,OTP,2025-09-01
921,49,False,Contraseña,2023-09-07
189,50,False,Contraseña,2024-11-28
276,51,True,Biometrico,2022-07-05
788,52,False,PIN,2023-07-02
848,53,True,Biometrico,2024-11-08
946,54,False,OTP,2023-09-21
264,55,True,PIN,2022-11-07
631,56,True,OTP,2024-09-21
219,57,True,OTP,2023-07-01
681,58,False,PIN,2022-07-08
755,59,True,PIN,2025-01-29
541,60,True,Contraseña,2024-10-19
452,61,True,OTP,2023-03-17
214,62,False,OTP,2024-11-04
687,63,False,OTP,2022-06-17
701,64,True,Biometrico,2024-02-06
340,65,True,Biometrico,2025-05-08
405,66,True,Biometrico,2023-08-22
647,67,False,OTP,2025-04-28
930,68,True,OTP,2023-05-07
277,69,True,Biometrico,2022-02-27
933,70,False,OTP,2023-09-09
715,71,True,PIN,2022-04-05
49,72,True,Contraseña,2023-02-21
188,73,True,Biometrico,2024-02-11
495,74,True,Contraseña,2025-02-21
516,75,True,PIN,2022-05-16
946,76,False,Contraseña,2024-08-16
512,77,True,Contraseña,2022-06-29
373,78,False,Contraseña,2024-05-25
467,79,False,Contraseña,2025-12-08
879,80,True,Contraseña,2022-09-14
201,81,False,Biometrico,2023-09-10
334,82,True,Contraseña,2024-01-22
214,83,False,Biometrico,2022-04-29
832,84,True,PIN,2022-05-10
129,85,True,Biometrico,2024-12-15
204,86,False,OTP,2023-12-06
230,87,False,OTP,2023-03-10
614,88,True,Contraseña,2023-12-07
845,89,True,Biometrico,2024-09-07
343,90,True,OTP,2023-10-28
943,91,True,PIN,2022-11-08
357,92,False,Biometrico,2022-03-28
562,93,True,Contraseña,2022-02-20
979,94,True,PIN,2024-05-07
662,95,False,Biometrico,2024-02-04
662,96,True,PIN,2025-08-10
429,97,False,PIN,2025-09-09
727,98,True,Contraseña,2022-01-30
240,99,True,OTP,2022-04-12
544,100,True,Contraseña,2023-03-08
614,101,True,Contraseña,2025-02-18
808,102,False,Contraseña,2023-11-10
88,103,True,Contraseña,2023-04-05
907,104,True,OTP,2024-12-05
491,105,True,PIN,2022-08-25
240,106,True,OTP,2025-10-22
226,107,True,PIN,2025-02-04
100,108,False,Biometrico,2022-12-25
799,109,False,Biometrico,2022-05-03
100,110,True,Contraseña,2024-09-03
825,111,True,Biometrico,2022-10-18
974,112,True,OTP,2023-10-13
106,113,False,OTP,2023-02-11
120,114,True,Biometrico,2024-06-13
559,115,True,Contraseña,2023-09-28
507,116,False,Biometrico,2024-01-28
267,117,True,Biometrico,2024-11-06
701,118,False,OTP,2022-12-09
660,119,False,Contraseña,2022-03-15
462,120,True,Biometrico,2024-02-19
488,121,True,PIN,2023-04-06
680,122,True,PIN,2023-03-27
605,123,False,PIN,2025-04-12
389,124,True,OTP,2023-09-22
911,125,True,PIN,2024-07-15
303,126,False,PIN,2025-08-26
862,127,True,PIN,2023-04-22
984,128,True,OTP,2022-04-26
661,129,True,Biometrico,2023-03-21
297,130,True,PIN,2025-01-26
187,131,True,Biometrico,2024-01-08
563,132,False,PIN,2023-04-29
45,133,True,Biometrico,2024-05-30
67,134,True,OTP,2024-01-09
442,135,False,Biometrico,2025-05-06
800,136,False,PIN,2025-06-07
837,137,True,PIN,2023-05-07
460,138,True,OTP,2023-05-03
386,139,True,Biometrico,2022-12-27
516,140,False,OTP,2025-11-28
545,141,False,Contraseña,2023-12-24
329,142,True,Contraseña,2025-02-03
704,143,True,Biometrico,2022-11-17
138,144,True,Biometrico,2025-07-31
214,145,False,Biometrico,2024-02-06
682,146,True,PIN,2024-10-12
140,147,False,OTP,2024-07-10
246,148,False,PIN,2022-05-14
652,149,True,OTP,2023-07-28
937,150,True,PIN,2022-06-05
775,151,False,OTP,2025-10-31
67,152,True,Biometrico,2023-06-07
259,153,True,Biometrico,2025-07-13
838,154,True,Biometrico,2022-08-23
260,155,False,PIN,2022-03-25
972,156,False,Contraseña,2025-04-22
406,157,False,OTP,2023-07-17
327,158,True,Biometrico,2024-07-10
185,159,True,Biometrico,2025-11-08
109,160,False,Contraseña,2025-07-16
831,161,True,Biometrico,2022-03-05
